,Weight
ADBE,0.018916969202783882
AMD,0.017142173236736537
GOOGL,0.06528109686722913
AMZN,0.06102061960078925
AEP,0.006310818882090254
AMGN,0.010319678317579078
ADI,0.015044414065700142
ANSS,0.008045444943433405
AAPL,0.11289108024238967
ASML,0.011035577087294735
AZN,0.006501040632970044
ADP,0.024122211589456283
BKR,0.01466439228251803
BIIB,0.013619295226677446
AVGO,0.02316705781394214
CSCO,0.02218875703733653
CMCSA,0.018106853908835683
COST,0.029215386910473682
DDOG,0.0047411542813088955
EA,0.014106855543499611
FTNT,0.005658664508677099
HON,0.006765010396760641
ILMN,0.00918229343055183
ISRG,0.01297512843357328
KLAC,0.016903210212164135
KHC,0.006682987119159667
LULU,0.005812613936684163
MAR,0.008615759057723972
MELI,0.007791072669290513
META,0.04065318571147589
MU,0.008221215172645614
MSFT,0.113020134367559
MRNA,0.0038822494092547845
NFLX,0.01304913442870648
NVDA,0.0453800523210137
NXPI,0.01983081795703214
ODFL,0.004386191990510007
PCAR,0.006442173732225972
PYPL,0.006499522824954592
PDD,0.004915224114423183
PEP,0.038436547050263864
QCOM,0.007910657117021904
ROST,0.008751570366799846
SNPS,0.020940294290324
TMUS,0.017712293420520216
TSLA,0.037711322670964
TTD,0.003909585248163599
VRTX,0.011416964484609477
WBD,0.003160284916609052
WDAY,0.006942960967293189
